"Verslagperiode","Index","Productgroep"
201101,100,1
201102,108.697233995848,1
201103,112.421152711646,1
201104,112.656204026036,1
201105,115.218477740252,1
201106,115.416538341457,1
201107,113.831924984072,1
201108,117.835843089057,1
201109,117.707492901619,1
201110,103.174210303471,1
201111,87.8863681994664,1
201112,95.4094922880858,1
201201,97.2817932370166,1
201202,107.320517096241,1
201203,105.728569264531,1
201204,111.622269601463,1
201205,115.682370605923,1
201206,117.523268503049,1
201207,120.531969173012,1
201208,123.098671535527,1
201209,128.454140655417,1
201210,118.705337291334,1
201211,96.3332300068695,1
201212,104.674019299332,1
201301,105.430553438807,1
201302,114.143975671518,1
201303,117.318381435074,1
201304,120.965740845419,1
201305,123.719571150389,1
201306,130.825832761928,1
201307,131.932522867969,1
201308,127.347367781767,1
201309,126.362666246084,1
201310,109.488321828879,1
201311,96.9746224491347,1
201312,99.4360408692762,1
201401,96.2266660197551,1
201402,102.600797216149,1
201403,110.789873641962,1
201404,114.421390081291,1
201405,111.880684445054,1
201406,114.468921626768,1
201407,115.388284233515,1
201408,120.214816273829,1
201409,115.609381768134,1
201410,111.219584569126,1
201411,97.1071323289057,1
201412,86.6599301254055,1
201101,100,2
201102,111.208162219608,2
201103,108.639658051887,2
201104,113.35053331273,2
201105,120.54528302188,2
201106,123.258023084813,2
201107,121.223901436074,2
201108,122.240125291442,2
201109,118.025094705334,2
201110,121.73459421735,2
201111,124.407285420513,2
201112,119.90911297372,2
201201,118.597809884042,2
201202,121.360661749019,2
201203,115.221058205089,2
201204,123.800843935905,2
201205,122.164398641993,2
201206,124.061144074898,2
201207,124.407683003447,2
201208,118.106176120808,2
201209,110.541433620078,2
201210,121.822880986456,2
201211,121.398025570441,2
201212,119.646801651258,2
201301,118.226562056167,2
201302,118.258535685399,2
201303,115.725442881297,2
201304,123.200143311534,2
201305,122.264355955056,2
201306,117.396468013413,2
201307,119.968743310574,2
201308,118.263608895537,2
201309,109.795846195068,2
201310,118.267079733711,2
201311,119.148443433723,2
201312,116.545387896181,2
201401,117.283305992341,2
201402,116.507350300726,2
201403,113.459759766892,2
201404,117.596693408306,2
201405,118.191302298773,2
201406,116.655213379116,2
201407,117.872389375713,2
201408,116.612842015601,2
201409,115.473657404899,2
201410,113.686461582358,2
201411,114.329623646437,2
201412,112.774469880573,2
