"Verslagperiode","id","Productgroep","Omzet","Aantal"
201101,1,1,3106596.32,1493510
201102,1,1,2759403.92,1122846
201103,1,1,3286870.59,1484047
201104,1,1,1437440.7,584386
201105,1,1,988801.09,446232
201106,1,1,970474.69,461471
201107,1,1,1037744.79,486876
201108,1,1,1154466.6,468196
201109,1,1,1153155.88,429358
201110,1,1,3400471.71,2051324
201111,1,1,4588819.26,3776633
201112,1,1,2750899.38,1815494
201201,1,1,2222552.77,1129137
201202,1,1,2642313.44,1247497
201203,1,1,1537075.7,672928
201204,1,1,1806722.89,775973
201205,1,1,854831,343774
201206,1,1,1007396.76,444654
201207,1,1,1106180.21,480816
201208,1,1,840267.83,313488
201209,1,1,1711058.28,657065
201210,1,1,3529975.9,1753351
201211,1,1,4280169.92,3271490
201212,1,1,3139292.4,2037334
201301,1,1,3573211.9,1924168
201302,1,1,3197516.35,1299612
201303,1,1,3255890.95,1506993
201304,1,1,2404890.7,1003028
201305,1,1,1082068.35,403132
201306,1,1,1384899.74,557233
201307,1,1,1226143.6,497119
201308,1,1,1169963.14,460793
201309,1,1,1699788.78,611086
201310,1,1,2886950.69,1530626
201311,1,1,4321910.98,3358472
201312,1,1,3692563.9,2737629
201401,1,1,4541086.68,3400368
201402,1,1,1949615.14,782946
201403,1,1,3110976.52,1451859
201404,1,1,2263195.68,1011290
201405,1,1,1039818.42,388886
201406,1,1,1387820.74,583965
201407,1,1,1070661.69,468019
201408,1,1,1125863.94,436433
201409,1,1,2217884.5,834691
201410,1,1,2717457.51,1446722
201411,1,1,4202276.24,2795164
201412,1,1,2605045.67,2247703
201101,2,1,2681352.87,1242515
201102,2,1,2402936.45,1188835
201103,2,1,1588212.76,532149
201104,2,1,1824230.36,742749
201105,2,1,2004780.03,768360
201106,2,1,1338001.76,448004
201107,2,1,1212650.49,406633
201108,2,1,1451338.83,486112
201109,2,1,1205839.54,404275
201110,2,1,1587641.95,532650
201111,2,1,1364681.06,532637
201112,2,1,2096826.48,972720
201201,2,1,2486410.95,1201009
201202,2,1,2519523.57,1277867
201203,2,1,1370354.11,583863
201204,2,1,2127030.61,852519
201205,2,1,1239342.26,415315
201206,2,1,1121080.8,375520
201207,2,1,1300598.45,435712
201208,2,1,1157866.69,390938
201209,2,1,1119888.34,375120
201210,2,1,2034544.39,816957
201211,2,1,1611303.09,664020
201212,2,1,1989611.52,869279
201301,2,1,2741058.45,1335901
201302,2,1,3089117.88,1619928
201303,2,1,1886579.17,788383
201304,2,1,2051345,816779
201305,2,1,2084528.37,862770
201306,2,1,1247634.49,418499
201307,2,1,1432317.79,479804
201308,2,1,1552844.45,694361
201309,2,1,2062065.74,841545
201310,2,1,2286855.99,1207623
201311,2,1,1954340.2,839075
201312,2,1,2002672.59,877733
201401,2,1,2885163.77,1509032
201402,2,1,2335228.29,1259583
201403,2,1,2936931.07,1303048
201404,2,1,1728176.07,774606
201405,2,1,1548125.32,703906
201406,2,1,1629356.09,707308
201407,2,1,961659.7,386645
201408,2,1,1015805.34,385195
201409,2,1,1562219.95,618633
201410,2,1,1771727.04,778797
201411,2,1,2047725.53,947547
201412,2,1,977885.15,464553
201101,3,1,2615663.32,1383313
201102,3,1,1348238.19,611787
201103,3,1,1477583.04,670210
201104,3,1,1808812.25,829701
201105,3,1,1075697.72,363441
201106,3,1,701527.98,253166
201107,3,1,524493.68,195519
201108,3,1,586164.01,218317
201109,3,1,538493.58,200389
201110,3,1,705001.34,252172
201111,3,1,1184399.22,502073
201112,3,1,1057841.9,486124
201201,3,1,2548011.01,1345911
201202,3,1,698749.78,238875
201203,3,1,1499012.72,851839
201204,3,1,2169953.73,962589
201205,3,1,863429.56,290565
201206,3,1,658215.83,220537
201207,3,1,648953.71,217385
201208,3,1,452811.3,152639
201209,3,1,470264.32,157562
201210,3,1,790403.96,264825
